;userName;content;step01
6679;Zuljala;Selalu error Email tidak valid Ganti email baru juga tidak bisa dengan alasan nmr hp sudah pernah d gunakan Ganti nmr hp (haqqul yakin blm pernah d pakek) juga tidak bisa;selalu error email tidak valid ganti email baru juga tidak bisa dengan alasan nmr hp sudah pernah gunakan ganti nmr hp haqqul yakin blm pernah pakek juga tidak bisa
6680;Aji Mojoe;Mempermudah???? Hahhh kocakk;mempermudah hahhh kocakk
6681;Kalin Ijimae;Buruk sekali..;buruk sekali
6682;Erika Lie;Tidak bisa daftar tertulis error.;tidak bisa daftar tertulis error
6683;Dini Yasa Istiqomah;Aplikasinya parah banget, sering gagal loading, lemot. Ini kan aplikasinya dibuat pakai anggaran negara, kan bisa hire developer aplikasi dan sewa server yang lebh bagus.;aplikasinya parah banget sering gagal loading lemot ini kan aplikasinya dibuat pakai anggaran negara kan bisa hire developer aplikasi dan sewa server yang lebh bagus
6684;umam ws;Kak aku udah daftar online tapi aku rasa ada yg salah dengan penulisan TTL. Apakah itu nantinya bermasalah / bisa dirubah ketika perekaman kak ?;kak aku udah daftar online tapi aku rasa ada yg salah dengan penulisan ttl apakah itu nantinya bermasalah bisa dirubah ketika perekaman kak
6685;Hosni Muharrom;Aplikasi sangat lemot tolong ditingkatkan server nya masak aplikasi milik negara kayak buatan anak SMK malu dong gimana mau maju kalau kayak gini;aplikasi sangat lemot tolong ditingkatkan server nya masak aplikasi milik negara kayak buatan anak smk malu dong gimana mau maju kalau kayak gini
6686;Ria Budi Ria;Parah banget buang2 waktu...coba lebih serius lg 2 hari begadang;parah banget buang waktu coba lebih serius lg   hari begadang
6687;Arief Lutfianto;Antrian online diwajibkan pakai aplikasi. Tapi aplikasinya lemot dan banyak bug. Sangat miris!;antrian online diwajibkan pakai aplikasi tapi aplikasinya lemot dan banyak bug sangat miris
6688;Amalia shinta Ayunani;Negara mempermudah;negara mempermudah
6689;Ferry Wahyudi;Apa udah lama masuk giliran pas ngisi data malah ga bisa di pencet;apa udah lama masuk giliran pas ngisi data malah ga bisa di pencet
6690;Husahivah Arraniri;Nice;nice
6691;Alam Erza Gagarin;Aplikasi lemot;aplikasi lemot
6692;Litho Augsarufa;Lambat!;lambat
6693;endang rojali;Aktivasi akun gagal terus Verifikasi kode dikirim di email tapi salah terus Aneh banget;aktivasi akun gagal terus verifikasi kode dikirim di email tapi salah terus aneh banget
6694;eni purwowiyanti;Ini parah banget Loading nya lama Daftar akun juga susah Udah beberapa kali coba tetep ga bisa;ini parah banget loading nya lama daftar akun juga susah udah beberapa kali coba tetep ga bisa
6695;Aryanti Utami;Ini lemot biar apa ya? Biar kita pada ke kantor terus ketemu calo gitu? Perasaan aplikasi laen gampang gampang aja;ini lemot biar apa ya biar kita pada ke kantor terus ketemu calo gitu perasaan aplikasi laen gampang gampang aja
6696;Siti Syarah;Sangat tidak membantu, lambat sekaliiii. Percuma apps nya;sangat tidak membantu lambat sekaliiii percuma apps nya
6697;Syahrial Kalla;Aplikasi sangat lalod;aplikasi sangat lalod
6698;Dewi Munir;Jelek lemot ga sinkron antara dapat email verifikasi dg aktivasi, parah banget;jelek lemot ga sinkron antara dapat email verifikasi dg aktivasi parah banget
6699;Anargya aa;aplikasi mirip wibowo;aplikasi mirip wibowo
6700;Trend TV;Kalau untuk perpanjang paspor gimana caranya;kalau untuk perpanjang paspor gimana caranya
6701;Ronaldo Lie;LEMOTTT !!!;lemottt
6702;Febrianty Rachma;Dikira cuma saya aja yg mengalami masalah serupa, karena penasaran buka review di playstore ternyata mengalami kendala yang sama. Kami hanya ingin mengikuti peraturan yg berlaku dengan pendaftaran dan pembayaran online. Namun disayangkan aplikasinya sangat lambat, utk hapus data muter2, bolak balil ulang lagi, bahkan udah restart Hp berulang kali. Pindah dari WiFi ke paket data begitu sebaliknya. Menghabiskan waktu ✔️ Menghabiskan pikiran ✔️ Menghabiskan tenaga ✔️ Mempermudah ✖️ Mempercepat ✖️;dikira cuma saya aja yg mengalami masalah serupa karena penasaran buka review di playstore ternyata mengalami kendala yang sama kami hanya ingin mengikuti peraturan yg berlaku dengan pendaftaran dan pembayaran online namun disayangkan aplikasinya sangat lambat utk hapus data muter bolak balil ulang lagi bahkan udah restart hp berulang kali pindah dari wifi ke paket data begitu sebaliknya menghabiskan waktu menghabiskan pikiran menghabiskan tenaga mempermudah mempercepat
6703;Yumilia Zai;Tolong perbaikan aplikasi ini,aplikasinya jelek,lelet dan kurangnya respon dari aplikasi ini;tolong perbaikan aplikasi ini aplikasinya jelek lelet dan kurangnya respon dari aplikasi ini
6704;Bunda Parera;Gmn sih ktnya bs lbh mudah dftar dgn online tp bnr2 lemot kode udh dikirim giliran dimasukin kode invalid trs gmn mau digunakn sih apkikasi ini tlng dong klu bwt aplikasi yg jls gkk bgni cara nya bikin naik darah turun pitam gw sm aplikasi ini parah2 bngt lemot dan krj nya ini aplikasi.;gmn sih ktnya bs lbh mudah dftar dgn online tp bnr lemot kode udh dikirim giliran dimasukin kode invalid trs gmn mau digunakn sih apkikasi ini tlng dong klu bwt aplikasi yg jls gkk bgni cara nya bikin naik darah turun pitam gw sm aplikasi ini parah bngt lemot dan krj nya ini aplikasi
6705;Ahmad Muhsin;Ini aplikasi malu maluin NKRI saja, lelet, ga work, entah harus ngadu ke siapa;ini aplikasi malu maluin nkri saja lelet ga work entah harus ngadu ke siapa
6706;Hendy Liu;Lemot nya mnt ampun....dari pendaftran akun aja lemot...ibarat..jika bisa di bikin repot kenapa harus di bikin gampang....kata nya bikin memudahkan kita dngn digital...ini malah lemot macam aplikasi abal2;lemot nya mnt ampun dari pendaftran akun aja lemot ibarat jika bisa di bikin repot kenapa harus di bikin gampang kata nya bikin memudahkan kita dngn digital ini malah lemot macam aplikasi abal
6707;Shanum Akhtar;Ini mah bukan mempermudah,tp menyulitkan;ini mah bukan mempermudah tp menyulitkan
6708;Indii Maharanii;Aplikasi belum siap sudah di luncurkan... Bukan nya membantu mempermudah malah jadi mempersulit;aplikasi belum siap sudah di luncurkan bukan nya membantu mempermudah malah jadi mempersulit
6709;designby fariz;Ga rekoment, lemot disaat data udah terisi semua diakhirnya sangat menyita waktu, bukan dr hp atau jaringan nya. Tp aplikasinya harus diperbaiki system nya;ga rekoment lemot disaat data udah terisi semua diakhirnya sangat menyita waktu bukan dr hp atau jaringan nya tp aplikasinya harus diperbaiki system nya
6710;FAKHRUR RAZI;Aplikasi mempersulit rakyat, bgst;aplikasi mempersulit rakyat bgst
