;userName;content;step01
6711;Sumi Yati;1.email dan no hp gak bisa dipakai berulang padahal belom berhasil daftar akun doang awal bgt. Loading lama. 2.otp verifikasi klo lupa pasword telat bgt loading lama bgt. 3. Masukin data pribadi kaya KK atau KTP kaga ada verifikasi bener atau salah.loading lama 4. Tolong bgt nih yah servernya loading lama bgt,giliran masukin data lama,baca data maps lama,baca penetuan lokasi paspor lama. Servernya ecek2 jgn2 wkwk. Koplak bgt aplikasi gini udah digunain aja 5. Data pemohon bisa double entry.;  email dan no hp gak bisa dipakai berulang padahal belom berhasil daftar akun doang awal bgt loading lama   otp verifikasi klo lupa pasword telat bgt loading lama bgt   masukin data pribadi kaya kk atau ktp kaga ada verifikasi bener atau salah loading lama   tolong bgt nih yah servernya loading lama bgt giliran masukin data lama baca data maps lama baca penetuan lokasi paspor lama servernya ecek jgn wkwk koplak bgt aplikasi gini udah digunain aja   data pemohon bisa double entry
6712;Yayat Supriyadi;Kalau di kelola sama pemerintah ya begini, selalu kecewa;kalau di kelola sama pemerintah ya begini selalu kecewa
6713;Martha Heriniazwi Dianthi;Lemot T.T;lemot
6714;serba serbi hidup;Aplikasi sampah, erorr terus mau isi data susah banget, aneh ya knapa sih app pemerintahan payah senua padahal anggaran belanja sangat besar tp maintenance dan fungsi app nya erorr terus, ckckckck dananya dikemanain ?;aplikasi sampah erorr terus mau isi data susah banget aneh ya knapa sih app pemerintahan payah senua padahal anggaran belanja sangat besar tp maintenance dan fungsi app nya erorr terus ckckckck dananya dikemanain
6715;Muhammad Taufik Madani;Bismillah , hanya memberi masukan semoga kedepannya lebih baik untuk memberikan pelayanan kepada masyarakat , m paspor ini menurut sangat banyak kekurangan jauh di bawah standar. Saya mengajukan pendaftaran seharian terus terusan eror , ketika berhasil itupun malam jam 3 malah hanya di beri waktu 2 jam untuk pembayaran. Tolong di perhtikan lagi sebagian dari kami ini menggunakan paspor dalam keadaan urgen.;bismillah hanya memberi masukan semoga kedepannya lebih baik untuk memberikan pelayanan kepada masyarakat paspor ini menurut sangat banyak kekurangan jauh di bawah standar saya mengajukan pendaftaran seharian terus terusan eror ketika berhasil itupun malam jam   malah hanya di beri waktu   jam untuk pembayaran tolong di perhtikan lagi sebagian dari kami ini menggunakan paspor dalam keadaan urgen
6716;a jossan;Layanan sangat buruk, aplikasi tidak berfungsi, masa bikin akun aja sampai 3 hari gak jadi jadi, kode otp selalu invalid, kacau, masa negara cuma bikin aplikasi kaya gini... gak ada anggaran ya..;layanan sangat buruk aplikasi tidak berfungsi masa bikin akun aja sampai   hari gak jadi jadi kode otp selalu invalid kacau masa negara cuma bikin aplikasi kaya gini gak ada anggaran ya
6717;Khairul Kun;Pemerintah buta tidak melihat komentar dan keluh kesah masyarakat terhadap apk ini. Para karyawannya tidur Sekolah tinggi tapi ilmu tidak ada;pemerintah buta tidak melihat komentar dan keluh kesah masyarakat terhadap apk ini para karyawannya tidur sekolah tinggi tapi ilmu tidak ada
6718;Nurhuda Widianto;Haduuuuuuih lemootnya 😵😖😖;haduuuuuuih lemootnya
6719;Riko Saputra;Kenapa aplikasi milik pemerintah gak ada yg bener . Duh malu maluin;kenapa aplikasi milik pemerintah gak ada yg bener duh malu maluin
6720;Asri Anugerah Gustini;Kalo ga mau lama loading, bukanya subuh aja. Misal sore, dijamin leletos malah gagal masukin dokumen padahal udah copy paste ...hedeuh🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️;kalo ga mau lama loading bukanya subuh aja misal sore dijamin leletos malah gagal masukin dokumen padahal udah copy paste hedeuh
6721;mienchah al chasna;Kok susah banget ya, email non valid trus. pdhal udh coba lebih dr 10 x. Wah parah ini aplikasi;kok susah banget ya email non valid trus pdhal udh coba lebih dr   wah parah ini aplikasi
6722;Arjuna Aimar;Lemot parah....tdk membantu sm sekali;lemot parah tdk membantu sm sekali
6723;Ita Mailina;Ajaib sekali aplikasi nya, bikin emosi;ajaib sekali aplikasi nya bikin emosi
6724;Sudarmaji;Lambat sekali.;lambat sekali
6725;Gergeous Me;BERBULAN-BULAN MASIH TETAP GAK ADA PERBAIKAN, APAKAH KARENA MINIM NYA KEPEDULIAN MELAYANI MASYARAKAT ATAU MEMANG KEKINERJA YANG GAK MUMPUNI;berbulan bulan masih tetap gak ada perbaikan apakah karena minim nya kepedulian melayani masyarakat atau memang kekinerja yang gak mumpuni
6726;Ana Rochanah;Gak bisa buka bolak balik instal uninstal gak bisa pake , gimana mau perpanjang paspor;gak bisa buka bolak balik instal uninstal gak bisa pake gimana mau perpanjang paspor
6727;Lio Della Mutiasari;Baru kali install aplikasi yang ribet & lelet seperti ini...;baru kali install aplikasi yang ribet lelet seperti ini
6728;Anwar jibrany;Apa ini....gak jelas amat .... Hadech;apa ini gak jelas amat hadech
6729;Diana irsy;Anggaran kemana, aplikasi resmi pemerintah ke gini hasilnya;anggaran kemana aplikasi resmi pemerintah ke gini hasilnya
6730;Sriyani Nci;Knp tiap mau daftar tulisannya error, email tdk valid pdhl email valid.. Perlu kerja keras buat memperbaiki aplikasi. Error mulu.. bikin darah tinggi aja neeh aplikasi. Dimana letak kemudahannya?;knp tiap mau daftar tulisannya error email tdk valid pdhl email valid perlu kerja keras buat memperbaiki aplikasi error mulu bikin darah tinggi aja neeh aplikasi dimana letak kemudahannya
6731;Wus'atul Alfiyah;Buruk sangat;buruk sangat
